Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530088573.0,TomProTrader,BTC/USD - Live Update,"
Posting a quick  daily analysis , as I am currently in the process of moving house so I have been very busy. 

Bitcoin 0.55%  is currently trading at a horizontal  support zone  between 6040 and 5930. Price could either bounce up from here to the highs, or break the horizontal  support zone  and break lower. 

Now, for this next part I recommend you read my previous  Bitcoin 0.55%  analysis as this part is more difficult... (See related ideas below this analysis)... If  Bitcoin 0.55%  trades upwards now, it is likely only going to be short lived. As per my previous analysis, price is still in a long term  bearish flag  pattern and this measure move target has still not been achieved yet.  

Now, this level has to be reached in my opinion. I believe regardless of if price holds at 6040 and 5930, it will have to eventually come down and satisfy the  flag pattern . For this reason, we should watch Bitcoin's behavior in the short term to attempt to profit from small moves during this market correction. 

Bear in mind that price does NOT HAVE TO STAY BEYOND THE SUPPORT BETWEEN 6040 AN 5930. This is just a level that price MIGHT stop to get some upside before the ultimate downside takes over.  

Please leave a LIKE, comment & follow. I would really appreciate it. 


",,896,3,39
1530088186.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018
",,58,0,1
1530087953.0,TheQueenOfBitcoin,bounce ,"
k
",,258,2,2
1530085792.0,ReyndersPaul,Yeah yeah we are having an imminent reversal :))))),"
Look at the red lines and the black lines 

Wanted to play a bit with the range bars, guess you all saw it as what is new on  TD 0.28% . 

Red line was when we had our correction pattern... Now we are in a simple and quite obvious  Elliott wave  pattern. The next tick will happen in the zone of the red arrow (54-55-56 zone). Expect a strong bounce to the 5900--6200 after and then we should normally go have our final dive to the dept of panic. And bots that will just start panic selling. The bad thing about bots, is that they have very very simple coding...Even those they call Ai bots, are first not AI bots, but use narrow artificial intelligence, and are really good at performing that one single task they where programmed for.  
This is going to be fun!! 
Still keep an eye open lot's of tether have been printed out, they might start rigging this dog eating dog game again 

Happy Wednesday trading guys!!! 

If you do enjoy my random trading spam messages :))) Please like them, it tends to appease the narcissistic side of my personality!!! (All jokes besides it's so awesome to have an amazing disorder and be able to enjoy playing the game!!! 

https://news.efinancialcareers.com/uk-en/141192/the-seven-mental-disorders-most-prevalent-in-financial-services 
So yes we all are crazy  Dr             . Gekko
",Short,200,0,4
1530094676.0,EmilsTA,BTC to $4000,"




43 minutes ago




Fib retracement says ~$4000






26 minutes ago





Comment:










",Short,39,1,1
1530094622.0,cryptoworldnews,BTC short term ideas,"
Unfortunately I forgot to publish this yesterday, but here are some areas that I am looking at now, I would like to see some nice  volume  in those green boxes to get in some longs. Remember on overall we are still in a downtrend, so when taking longs we should be careful. 
",Long,57,2,0
1530093303.0,DVY420,BTC-USD Great buy opportunity! Buy around 5500-5600,"
Oversold condition + fundamental accumulation + bottom of  falling wedge  + 5500 support
",Long,72,2,0
1530091376.0,kuw13,btc,"
 btc 0.54% 
",,87,0,1
1530090829.0,Fxprotrader,BTCUSD: Short Term Sell Opportunity,"
Everybody is looking for the sweet spot where  Bitcoin 0.54%  will reverse for good and start climbing to higher levels. Ideally in order to have a clear view for that, we better focus at the higher timeframes to get the bigger picture. For now, we are clearly in a bear market and trading it short term is absolutely ok.  

Looking at the hourly chart of  Bitcoin 0.54%  we may see that price is forming a  H&S  pattern after bouncing from a key  structure resistance  level. Selling at the level of the left shoulder at around $6250 with a stoploss above $6350 is a nice idea. As for tp $5780 (previous lows) looks like a realistic level.
",Short,96,1,1
1530090159.0,sdahiya117,BTCUSD: Time to say 'good bye bears',"
HI Friends, 

We can clearly see a  falling wedge  with higher highs.  

In a weekly chart, buying pressure is increasing as we can see that candle's size is getting smaller. I am anticipated a nice rally soon. 

Lets wait for the candle to close out of the  falling wedge  to get the confirmation of a  bullish trend . We then can  start trading. 

Thank you  




",Long,79,1,2
1530089636.0,cryptotrader10002,Wyckoff's accumulation 2014/2018.,"




2 hours ago












2014 








2018 















36 minutes ago





Comment:
					2014 ABCDE/12345 








2018 ABCDE/12345 











",,110,0,1
1530088299.0,flywithme,BTC projected moves - Short term 06/27/2018,"
 RSI  may be due for a bounce on 4hr chart.  
Current move down doesn't look very convincing though the mood is still extremely  bearish .. 
Arrows indicate my most likely scenario for the next couple days.
",,47,0,0
1530088082.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018...
",,16,0,1
1530087501.0,snoozy010,BTCUSD POSSIBLE LONG BUY OPPORTUNITY,"
 BTCUSD 0.54%  IS RALLYING AT THE MOMENT , EXPECTING A SHORT SELL AND THEN A BUY REACHING ABOVE 8000 PRICE LEVEL. BUY ZONE AROUND 6000-5000.PLEASE TRADE WITH PROPER RISK MANAGEMENT.  HAPPY TRADING .. ENJOY
",Long,83,0,3
1530092333.0,DVY420,BTC-USD Falling wedge and the 6k support.. again!  ,"
 Bullish divergence  on the daily  BTC 0.54%  and the  MACD  is trying to become  bullish . Overall  volume  very low and a  bearish pennant  on the hourly.  

Strong support within the 5500-5600 area mid-term. Support line @5500 + bottom of the  falling wedge . 

Good luck trading!
",,112,0,2
1530091341.0,webak,LONG TERM SHORT,"
LONG TERM 
",Short,91,11,0
1530090402.0,kuw13,btc,"
 btc 0.53% 
",,117,0,0
1530090096.0,kuw13,btc,"
what you think ?
",,89,0,0
1530088573.0,TomProTrader,BTC/USD - Live Update,"
Posting a quick  daily analysis , as I am currently in the process of moving house so I have been very busy. 

Bitcoin 0.53%  is currently trading at a horizontal  support zone  between 6040 and 5930. Price could either bounce up from here to the highs, or break the horizontal  support zone  and break lower. 

Now, for this next part I recommend you read my previous  Bitcoin 0.53%  analysis as this part is more difficult... (See related ideas below this analysis)... If  Bitcoin 0.53%  trades upwards now, it is likely only going to be short lived. As per my previous analysis, price is still in a long term  bearish flag  pattern and this measure move target has still not been achieved yet.  

Now, this level has to be reached in my opinion. I believe regardless of if price holds at 6040 and 5930, it will have to eventually come down and satisfy the  flag pattern . For this reason, we should watch Bitcoin's behavior in the short term to attempt to profit from small moves during this market correction. 

Bear in mind that price does NOT HAVE TO STAY BEYOND THE SUPPORT BETWEEN 6040 AN 5930. This is just a level that price MIGHT stop to get some upside before the ultimate downside takes over.  

Please leave a LIKE, comment & follow. I would really appreciate it. 


",,896,3,39
1530088186.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018
",,58,0,1
1530087953.0,TheQueenOfBitcoin,bounce ,"
k
",,258,2,2
1530085792.0,ReyndersPaul,Yeah yeah we are having an imminent reversal :))))),"
Look at the red lines and the black lines 

Wanted to play a bit with the range bars, guess you all saw it as what is new on  TD             . 

Red line was when we had our correction pattern... Now we are in a simple and quite obvious  Elliott wave  pattern. The next tick will happen in the zone of the red arrow (54-55-56 zone). Expect a strong bounce to the 5900--6200 after and then we should normally go have our final dive to the dept of panic. And bots that will just start panic selling. The bad thing about bots, is that they have very very simple coding...Even those they call Ai bots, are first not AI bots, but use narrow artificial intelligence, and are really good at performing that one single task they where programmed for.  
This is going to be fun!! 
Still keep an eye open lot's of tether have been printed out, they might start rigging this dog eating dog game again 

Happy Wednesday trading guys!!! 

If you do enjoy my random trading spam messages :))) Please like them, it tends to appease the narcissistic side of my personality!!! (All jokes besides it's so awesome to have an amazing disorder and be able to enjoy playing the game!!! 

https://news.efinancialcareers.com/uk-en/141192/the-seven-mental-disorders-most-prevalent-in-financial-services 
So yes we all are crazy  Dr             . Gekko
",Short,200,0,4
1530094676.0,EmilsTA,BTC to $4000,"




44 minutes ago




Fib retracement says ~$4000






26 minutes ago





Comment:










",Short,39,1,1
1530094622.0,cryptoworldnews,BTC short term ideas,"
Unfortunately I forgot to publish this yesterday, but here are some areas that I am looking at now, I would like to see some nice  volume  in those green boxes to get in some longs. Remember on overall we are still in a downtrend, so when taking longs we should be careful. 
",Long,57,2,0
1530093303.0,DVY420,BTC-USD Great buy opportunity! Buy around 5500-5600,"
Oversold condition + fundamental accumulation + bottom of  falling wedge  + 5500 support
",Long,72,2,0
1530091376.0,kuw13,btc,"
 btc 0.53% 
",,87,0,1
1530090829.0,Fxprotrader,BTCUSD: Short Term Sell Opportunity,"
Everybody is looking for the sweet spot where  Bitcoin              will reverse for good and start climbing to higher levels. Ideally in order to have a clear view for that, we better focus at the higher timeframes to get the bigger picture. For now, we are clearly in a bear market and trading it short term is absolutely ok.  

Looking at the hourly chart of  Bitcoin              we may see that price is forming a  H&S  pattern after bouncing from a key  structure resistance  level. Selling at the level of the left shoulder at around $6250 with a stoploss above $6350 is a nice idea. As for tp $5780 (previous lows) looks like a realistic level.
",Short,96,1,1
1530090159.0,sdahiya117,BTCUSD: Time to say 'good bye bears',"
HI Friends, 

We can clearly see a  falling wedge  with higher highs.  

In a weekly chart, buying pressure is increasing as we can see that candle's size is getting smaller. I am anticipated a nice rally soon. 

Lets wait for the candle to close out of the  falling wedge  to get the confirmation of a  bullish trend . We then can  start trading. 

Thank you  




",Long,79,1,2
1530089636.0,cryptotrader10002,Wyckoff's accumulation 2014/2018.,"




2 hours ago












2014 








2018 















37 minutes ago





Comment:
					2014 ABCDE/12345 








2018 ABCDE/12345 











",,110,0,1
1530088299.0,flywithme,BTC projected moves - Short term 06/27/2018,"
 RSI  may be due for a bounce on 4hr chart.  
Current move down doesn't look very convincing though the mood is still extremely  bearish .. 
Arrows indicate my most likely scenario for the next couple days.
",,47,0,0
1530088082.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018...
",,16,0,1
1530087501.0,snoozy010,BTCUSD POSSIBLE LONG BUY OPPORTUNITY,"
 BTCUSD 0.60%  IS RALLYING AT THE MOMENT , EXPECTING A SHORT SELL AND THEN A BUY REACHING ABOVE 8000 PRICE LEVEL. BUY ZONE AROUND 6000-5000.PLEASE TRADE WITH PROPER RISK MANAGEMENT.  HAPPY TRADING .. ENJOY
",Long,83,0,3
1530092333.0,DVY420,BTC-USD Falling wedge and the 6k support.. again!  ,"
 Bullish divergence  on the daily  BTC 0.60%  and the  MACD  is trying to become  bullish . Overall  volume  very low and a  bearish pennant  on the hourly.  

Strong support within the 5500-5600 area mid-term. Support line @5500 + bottom of the  falling wedge . 

Good luck trading!
",,112,0,2
1530091341.0,webak,LONG TERM SHORT,"
LONG TERM 
",Short,91,11,0
1530090402.0,kuw13,btc,"
 btc 0.60% 
",,117,0,0
1530090096.0,kuw13,btc,"
what you think ?
",,89,0,0
1530088573.0,TomProTrader,BTC/USD - Live Update,"
Posting a quick  daily analysis , as I am currently in the process of moving house so I have been very busy. 

Bitcoin 0.60%  is currently trading at a horizontal  support zone  between 6040 and 5930. Price could either bounce up from here to the highs, or break the horizontal  support zone  and break lower. 

Now, for this next part I recommend you read my previous  Bitcoin 0.60%  analysis as this part is more difficult... (See related ideas below this analysis)... If  Bitcoin 0.60%  trades upwards now, it is likely only going to be short lived. As per my previous analysis, price is still in a long term  bearish flag  pattern and this measure move target has still not been achieved yet.  

Now, this level has to be reached in my opinion. I believe regardless of if price holds at 6040 and 5930, it will have to eventually come down and satisfy the  flag pattern . For this reason, we should watch Bitcoin's behavior in the short term to attempt to profit from small moves during this market correction. 

Bear in mind that price does NOT HAVE TO STAY BEYOND THE SUPPORT BETWEEN 6040 AN 5930. This is just a level that price MIGHT stop to get some upside before the ultimate downside takes over.  

Please leave a LIKE, comment & follow. I would really appreciate it. 


",,896,3,39
1530088186.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018
",,58,0,1
1530087953.0,TheQueenOfBitcoin,bounce ,"
k
",,258,2,2
1530085792.0,ReyndersPaul,Yeah yeah we are having an imminent reversal :))))),"
Look at the red lines and the black lines 

Wanted to play a bit with the range bars, guess you all saw it as what is new on  TD             . 

Red line was when we had our correction pattern... Now we are in a simple and quite obvious  Elliott wave  pattern. The next tick will happen in the zone of the red arrow (54-55-56 zone). Expect a strong bounce to the 5900--6200 after and then we should normally go have our final dive to the dept of panic. And bots that will just start panic selling. The bad thing about bots, is that they have very very simple coding...Even those they call Ai bots, are first not AI bots, but use narrow artificial intelligence, and are really good at performing that one single task they where programmed for.  
This is going to be fun!! 
Still keep an eye open lot's of tether have been printed out, they might start rigging this dog eating dog game again 

Happy Wednesday trading guys!!! 

If you do enjoy my random trading spam messages :))) Please like them, it tends to appease the narcissistic side of my personality!!! (All jokes besides it's so awesome to have an amazing disorder and be able to enjoy playing the game!!! 

https://news.efinancialcareers.com/uk-en/141192/the-seven-mental-disorders-most-prevalent-in-financial-services 
So yes we all are crazy  Dr             . Gekko
",Short,200,0,4
1530094676.0,EmilsTA,BTC to $4000,"




an hour ago




Fib retracement says ~$4000






27 minutes ago





Comment:










",Short,39,1,1
1530094622.0,cryptoworldnews,BTC short term ideas,"
Unfortunately I forgot to publish this yesterday, but here are some areas that I am looking at now, I would like to see some nice  volume  in those green boxes to get in some longs. Remember on overall we are still in a downtrend, so when taking longs we should be careful. 
",Long,57,2,0
1530093303.0,DVY420,BTC-USD Great buy opportunity! Buy around 5500-5600,"
Oversold condition + fundamental accumulation + bottom of  falling wedge  + 5500 support
",Long,72,2,0
1530091376.0,kuw13,btc,"
 btc 0.60% 
",,87,0,1
1530090829.0,Fxprotrader,BTCUSD: Short Term Sell Opportunity,"
Everybody is looking for the sweet spot where  Bitcoin 0.60%  will reverse for good and start climbing to higher levels. Ideally in order to have a clear view for that, we better focus at the higher timeframes to get the bigger picture. For now, we are clearly in a bear market and trading it short term is absolutely ok.  

Looking at the hourly chart of  Bitcoin 0.60%  we may see that price is forming a  H&S  pattern after bouncing from a key  structure resistance  level. Selling at the level of the left shoulder at around $6250 with a stoploss above $6350 is a nice idea. As for tp $5780 (previous lows) looks like a realistic level.
",Short,96,1,1
1530090159.0,sdahiya117,BTCUSD: Time to say 'good bye bears',"
HI Friends, 

We can clearly see a  falling wedge  with higher highs.  

In a weekly chart, buying pressure is increasing as we can see that candle's size is getting smaller. I am anticipated a nice rally soon. 

Lets wait for the candle to close out of the  falling wedge  to get the confirmation of a  bullish trend . We then can  start trading. 

Thank you  




",Long,79,1,2
1530089636.0,cryptotrader10002,Wyckoff's accumulation 2014/2018.,"




2 hours ago












2014 








2018 















38 minutes ago





Comment:
					2014 ABCDE/12345 








2018 ABCDE/12345 











",,110,0,1
1530088299.0,flywithme,BTC projected moves - Short term 06/27/2018,"
 RSI  may be due for a bounce on 4hr chart.  
Current move down doesn't look very convincing though the mood is still extremely  bearish .. 
Arrows indicate my most likely scenario for the next couple days.
",,47,0,0
1530088082.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018...
",,16,0,1
1530087501.0,snoozy010,BTCUSD POSSIBLE LONG BUY OPPORTUNITY,"
 BTCUSD 0.60%  IS RALLYING AT THE MOMENT , EXPECTING A SHORT SELL AND THEN A BUY REACHING ABOVE 8000 PRICE LEVEL. BUY ZONE AROUND 6000-5000.PLEASE TRADE WITH PROPER RISK MANAGEMENT.  HAPPY TRADING .. ENJOY
",Long,83,0,3
1530092333.0,DVY420,BTC-USD Falling wedge and the 6k support.. again!  ,"
 Bullish divergence  on the daily  BTC 0.60%  and the  MACD  is trying to become  bullish . Overall  volume  very low and a  bearish pennant  on the hourly.  

Strong support within the 5500-5600 area mid-term. Support line @5500 + bottom of the  falling wedge . 

Good luck trading!
",,112,0,2
1530091341.0,webak,LONG TERM SHORT,"
LONG TERM 
",Short,91,11,0
1530090402.0,kuw13,btc,"
 btc 0.60% 
",,117,0,0
1530090096.0,kuw13,btc,"
what you think ?
",,89,0,0
1530088573.0,TomProTrader,BTC/USD - Live Update,"
Posting a quick  daily analysis , as I am currently in the process of moving house so I have been very busy. 

Bitcoin 0.60%  is currently trading at a horizontal  support zone  between 6040 and 5930. Price could either bounce up from here to the highs, or break the horizontal  support zone  and break lower. 

Now, for this next part I recommend you read my previous  Bitcoin 0.60%  analysis as this part is more difficult... (See related ideas below this analysis)... If  Bitcoin 0.60%  trades upwards now, it is likely only going to be short lived. As per my previous analysis, price is still in a long term  bearish flag  pattern and this measure move target has still not been achieved yet.  

Now, this level has to be reached in my opinion. I believe regardless of if price holds at 6040 and 5930, it will have to eventually come down and satisfy the  flag pattern . For this reason, we should watch Bitcoin's behavior in the short term to attempt to profit from small moves during this market correction. 

Bear in mind that price does NOT HAVE TO STAY BEYOND THE SUPPORT BETWEEN 6040 AN 5930. This is just a level that price MIGHT stop to get some upside before the ultimate downside takes over.  

Please leave a LIKE, comment & follow. I would really appreciate it. 


",,896,3,39
1530088186.0,Johndoughca,Btc/Usd 1st floor 2018,"
Btc/Usd 1st floor 2018
",,58,0,1
1530087953.0,TheQueenOfBitcoin,bounce ,"
k
",,258,2,2
1530085792.0,ReyndersPaul,Yeah yeah we are having an imminent reversal :))))),"
Look at the red lines and the black lines 

Wanted to play a bit with the range bars, guess you all saw it as what is new on  TD 0.28% . 

Red line was when we had our correction pattern... Now we are in a simple and quite obvious  Elliott wave  pattern. The next tick will happen in the zone of the red arrow (54-55-56 zone). Expect a strong bounce to the 5900--6200 after and then we should normally go have our final dive to the dept of panic. And bots that will just start panic selling. The bad thing about bots, is that they have very very simple coding...Even those they call Ai bots, are first not AI bots, but use narrow artificial intelligence, and are really good at performing that one single task they where programmed for.  
This is going to be fun!! 
Still keep an eye open lot's of tether have been printed out, they might start rigging this dog eating dog game again 

Happy Wednesday trading guys!!! 

If you do enjoy my random trading spam messages :))) Please like them, it tends to appease the narcissistic side of my personality!!! (All jokes besides it's so awesome to have an amazing disorder and be able to enjoy playing the game!!! 

https://news.efinancialcareers.com/uk-en/141192/the-seven-mental-disorders-most-prevalent-in-financial-services 
So yes we all are crazy  Dr -0.69% . Gekko
",Short,200,0,4
1530094676.0,EmilsTA,BTC to $4000,"




an hour ago




Fib retracement says ~$4000






28 minutes ago





Comment:










",Short,39,1,1
1530094622.0,cryptoworldnews,BTC short term ideas,"
Unfortunately I forgot to publish this yesterday, but here are some areas that I am looking at now, I would like to see some nice  volume  in those green boxes to get in some longs. Remember on overall we are still in a downtrend, so when taking longs we should be careful. 
",Long,57,2,0
1530093303.0,DVY420,BTC-USD Great buy opportunity! Buy around 5500-5600,"
Oversold condition + fundamental accumulation + bottom of  falling wedge  + 5500 support
",Long,72,2,0
1530091376.0,kuw13,btc,"
 btc 0.60% 
",,87,0,1
1530090829.0,Fxprotrader,BTCUSD: Short Term Sell Opportunity,"
Everybody is looking for the sweet spot where  Bitcoin 0.60%  will reverse for good and start climbing to higher levels. Ideally in order to have a clear view for that, we better focus at the higher timeframes to get the bigger picture. For now, we are clearly in a bear market and trading it short term is absolutely ok.  

Looking at the hourly chart of  Bitcoin 0.60%  we may see that price is forming a  H&S  pattern after bouncing from a key  structure resistance  level. Selling at the level of the left shoulder at around $6250 with a stoploss above $6350 is a nice idea. As for tp $5780 (previous lows) looks like a realistic level.
",Short,96,1,1
1530090159.0,sdahiya117,BTCUSD: Time to say 'good bye bears',"
HI Friends, 

We can clearly see a  falling wedge  with higher highs.  

In a weekly chart, buying pressure is increasing as we can see that candle's size is getting smaller. I am anticipated a nice rally soon. 

Lets wait for the candle to close out of the  falling wedge  to get the confirmation of a  bullish trend . We then can  start trading. 

Thank you  




",Long,79,1,2
1530089636.0,cryptotrader10002,Wyckoff's accumulation 2014/2018.,"




2 hours ago












2014 








2018 















38 minutes ago





Comment:
					2014 ABCDE/12345 








2018 ABCDE/12345 











",,110,0,1
1530088299.0,flywithme,BTC projected moves - Short term 06/27/2018,"
 RSI  may be due for a bounce on 4hr chart.  
Current move down doesn't look very convincing though the mood is still extremely  bearish .. 
Arrows indicate my most likely scenario for the next couple days.
",,47,0,0
